title,author
Theo of Golden: A Novel,Allen Levi
A Tale of Two Cities: The Audible Dickens Collection,"Charles Dickens, Simon Callow - introduction"
Streetwise: Getting to and Through Goldman Sachs,Lloyd Blankfein
How to Be a Great Boss,"Gino Wickman, René Boer"
"Ready, Fire, Aim: Zero to $100 Million in No Time Flat",Michael Masterson
No Rules Rules: Netflix and the Culture of Reinvention,"Reed Hastings, Erin Meyer"
Tribe of Mentors: Short Life Advice from the Best in the World,Tim Ferriss
The Founder's Dilemmas,Noam Wasserman
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss
The Startup Owner's Manual: The Step-by-Step Guide for Building a Great Company,"Steve Blank, Bob Dorf"
The Four Steps to the Epiphany,Steve Blank
"The Upside of Stress: Why Stress Is Good for You, and How to Get Good at It",Kelly McGonigal PhD
The JOLT Effect: How High Performers Overcome Customer Indecision,"Matthew Dixon, Ted McKenna"
Crucial Conversations (Third Edition): Tools for Talking When Stakes Are High,"Joseph Grenny, Kerry Patterson, Ron McMillan, Al Switzler, Emily Gregory"
"Obviously Awesome: How to Nail Product Positioning so Customers Get It, Buy It, Love It",April Dunford
The Challenger Customer: Selling to the Hidden Influencer Who Can Multiply Your Results,"Brent Adamson, Matthew Dixon, Pat Spenner, Nick Toman"
Who: The A Method for Hiring,"Geoff Smart, Randy Street"
People Follow You: The Real Secret to What Matters Most in Leadership,Jeb Blount
High Output Management,Andrew S. Grove
The Qualified Sales Leader: Proven Lessons from a Five Time CRO,John McMahon
Cold Calling Sucks (and That's Why It Works): A Step-by-Step Guide to Calling Strangers in Sales,"Armand Farrokh, Nick Cegelski"
$100M Leads: How to Get Strangers to Want to Buy Your Stuff,Alex Hormozi
$100M Offers: How to Make Offers So Good People Feel Stupid Saying No,Alex Hormozi
"Gap Selling: Getting the Customer to Yes: How Problem-Centric Selling Increases Sales by Changing Everything You Know About Relationships, Overcoming Objections, Closing and Price",Keenan
Exactly What to Say: The Magic Words for Influence and Impact,Phil M. Jones
The Sales Development Playbook: Build Repeatable Pipeline and Accelerate Growth with Inside Sales,Trish Bertuzzi
The Psychology of Selling: Increase Your Sales Faster and Easier Than You Ever Thought Possible,Brian Tracy
Coaching Salespeople into Sales Champions: A Tactical Playbook for Managers and Executives,Keith Rosen
SPIN Selling,Neil Rackham
Cracking the Sales Management Code: The Secrets to Measuring and Managing Sales Performance,"Jason Jordan, Michelle Vazzana"
"Influence, New and Expanded: The Psychology of Persuasion",Robert B. Cialdini
Service: A Navy SEAL at War,"Marcus Luttrell, James D. Hornfischer"
I Hate the Ivy League: Riffs and Rants on Elite Education,Malcolm Gladwell
"Freemium: How Zoom, HubSPot, Atlassian, and Other Top Companies Use Product-Led Growth...For Low-Cost Customer Acquisition and Expansion",Dave Boyce
The Key to the Keystone: How Apocryphal Texts Unlock the Book of Mormon's Brass Plates,Jonah R. Barnes
Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger
Defenders of the West: The Christian Heroes Who Stood Against Islam,Raymond Ibrahim
Sword and Scimitar: Fourteen Centuries of War between Islam and the West,"Raymond Ibrahim, Victor Davis Hanson - foreword"
Reconstruction: The Unfinished Promise,"Malcolm Gladwell, Barack Obama"
The Emerald Mile: The Epic Story of the Fastest Ride in History Through the Heart of the Grand Canyon,Kevin Fedarko
Play Nice But Win: A CEO's Journey from Founder to Leader,"Michael Dell, James Kaplan"
Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins
Outliers: The Story of Success,Malcolm Gladwell
The Unselected Journals of Emma M. Lion: Vol. 2,Beth Brower
The Undoing Project: A Friendship that Changed Our Minds,Michael Lewis
The Unselected Journals of Emma M. Lion: Vol. 4,Beth Brower
The Unselected Journals of Emma M. Lion Vol. 7,Beth Brower
The Unselected Journals of Emma M. Lion: Vol. 1,Beth Brower
The Unselected Journals of Emma M. Lion Vol. 6,Beth Brower
The Unselected Journals of Emma M. Lion: Vol. 3,Beth Brower
The Unselected Journals of Emma M. Lion: Vol. 5,Beth Brower
The Unselected Journals of Emma M. Lion: Vol. 8,Beth Brower
Breath: The New Science of a Lost Art,James Nestor
Unreasonable Hospitality: The Remarkable Power of Giving People More than They Expect,Will Guidara
The Two Swords of Christ: Five Centuries of War Between Islam and the Warrior Monks of Christendom,Raymond Ibrahim
Day Trading Attention: How to Actually Build Brand and Sales in the New Social Media World,Gary Vaynerchuk
The War on the West,Douglas Murray
Paul: A Biography,N. T. Wright
"Angel: How to Invest in Technology Startups-Timeless Advice from an Angel Investor Who Turned $100,000 into $100,000,000",Jason Calacanis
"Granite Mountain: The Firsthand Account of a Tragic Wildfire, Its Lone Survivor, and the Firefighters Who Made the Ultimate Sacrifice","Brendan McDonough, Stephan Talty"
